Histone type,Histone variant,HGNC symbol,NCBI gene ID,Ensembl gene ID,Transcript stable ID,RefSeq mRNA ID,RefSeq peptide ID,Transcript type
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000312469,NM_138609,NP_613075,protein_coding
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000423969,,,protein_coding
H2A,macroH2A.1,MACROH2A1,9555,ENSG00000113648,ENST00000510038,,,protein_coding
H2A,macroH2A.2,MACROH2A2,55506,ENSG00000099284,ENST00000373255,NM_018649,NP_061119,protein_coding
H2A,macroH2A.2,MACROH2A2,55506,ENSG00000099284,ENST00000455786,,,protein_coding
H2A,H2A.B.1,H2AB1,474382,ENSG00000274183,ENST00000620016,NM_001017990,NP_001017990,protein_coding
H2A,H2A.B.1,H2AB2,474381,ENSG00000277858,ENST00000354514,NM_001017991,NP_001017991,protein_coding
H2A,H2A.B.1,H2AB3,83740,ENSG00000277745,ENST00000615853,NM_080720,NP_542451,protein_coding
H2A,H2A.P,H2AP,25763,ENSG00000187516,ENST00000341016,NM_012274,NP_036406,protein_coding
H2B,TS H2B.1,H2BC1,255626,ENSG00000146047,ENST00000274764,NM_170610,NP_733759,protein_coding
H2B,canonical H2B,H2BC3,3018,ENSG00000276410,ENST00000615966,NM_021062,NP_066406,protein_coding
H2B,canonical H2B,H2BC4,8347,ENSG00000180596,ENST00000314332,,,protein_coding
H2B,canonical H2B,H2BC4,8347,ENSG00000180596,ENST00000396984,NM_003526,NP_003517,protein_coding
H2B,canonical H2B,H2BC5,3017,ENSG00000158373,ENST00000377777,NM_021063,NP_066407,protein_coding
H2B,canonical H2B,H2BC5,3017,ENSG00000158373,ENST00000289316,NM_138720,NP_619790,protein_coding
H2B,canonical H2B,H2BC6,8344,ENSG00000274290,ENST00000634910,,,protein_coding
H2B,canonical H2B,H2BC6,8344,ENSG00000274290,ENST00000614097,NM_003523,NP_003514,protein_coding
H2B,canonical H2B,H2BC7,8343,ENSG00000277224,ENST00000356530,NM_003522,NP_003513,protein_coding
H2B,canonical H2B,H2BC8,8339,ENSG00000278588,ENST00000377733,NM_003525,NP_003516,protein_coding
H2B,canonical H2B,H2BC9,8345,ENSG00000275713,ENST00000619466,NM_003524,NP_003515,protein_coding
H2B,canonical H2B,H2BC10,8346,ENSG00000273802,ENST00000541790,NM_003518,NP_003509,protein_coding
H2B,canonical H2B,H2BC11,8970,ENSG00000124635,ENST00000607124,,,protein_coding
H2B,canonical H2B,H2BC11,8970,ENSG00000124635,ENST00000606923,,,protein_coding
H2B,canonical H2B,H2BC11,8970,ENSG00000124635,ENST00000339812,NM_021058,NP_066402,protein_coding
H2B,canonical H2B,H2BC12,85236,ENSG00000197903,ENST00000356950,NM_080593,NP_542160,protein_coding
H2B,canonical H2B,H2BC13,8340,ENSG00000185130,ENST00000377401,NM_003519,NP_003510,protein_coding
H2B,canonical H2B,H2BC14,8342,ENSG00000273703,ENST00000621112,NM_003521,NP_003512,protein_coding
H2B,canonical H2B,H2BC15,8341,ENSG00000233822,ENST00000612898,NM_003520,NP_003511,protein_coding
H2B,canonical H2B,H2BC15,8341,ENSG00000233822,ENST00000606613,,,protein_coding
H2B,canonical H2B,H2BC15,8341,ENSG00000233822,ENST00000396980,,,protein_coding
H2B,canonical H2B,H2BC17,8348,ENSG00000274641,ENST00000616182,NM_003527,NP_003518,protein_coding
H2B,canonical H2B,H2BC18,440689,ENSG00000203814,ENST00000369167,NM_001024599,NP_001019770,protein_coding
H2B,canonical H2B,H2BC18,440689,ENSG00000203814,ENST00000545683,NM_001161334,NP_001154806,protein_coding
